hh_id,bracket,income_monthly,labor_share,capital_share,transfer_share,consumption_rate,savings_rate
0,Low,8129.82,0.3333,0.0005,0.6662,1.0335,-0.0335
1,Low,6147.98,0.3153,0.0132,0.6715,1.013,-0.013
2,Low,8634.98,0.3195,0.0007,0.6799,1.0758,-0.0758
3,Low,7678.82,0.2741,0.0043,0.7215,1.0817,-0.0817
4,Low,3572.55,0.282,0.0122,0.7058,1.001,-0.001
5,Low,9352.71,0.3378,0.0143,0.6479,1.0233,-0.0233
6,Low,8054.04,0.3595,0.007,0.6335,1.0145,-0.0145
7,Low,8201.56,0.3258,0.0118,0.6625,1.1095,-0.1095
8,Low,3922.14,0.316,0.0203,0.6638,1.0828,-0.0828
9,Low,6218.11,0.3228,0.012,0.6652,1.0866,-0.0866
10,Low,5724.49,0.3394,0.001,0.6596,1.0434,-0.0434
11,Low,9049.76,0.2956,0.0053,0.6991,1.0417,-0.0417
12,Low,7365.32,0.3274,0.0076,0.665,1.0314,-0.0314
13,Low,8419.98,0.2882,0.0195,0.6923,1.0914,-0.0914
14,Low,6175.67,0.2974,0.0162,0.6863,1.0569,-0.0569
15,Low,4747.58,0.343,0.0126,0.6445,1.1027,-0.1027
16,Low,6840.97,0.3437,0.016,0.6404,1.0048,-0.0048
17,Low,3197.88,0.3101,0.0059,0.684,1.1414,-0.1414
18,Low,8449.09,0.3345,0.0062,0.6593,1.0593,-0.0593
19,Low,7293.85,0.3495,0.0094,0.6412,1.037,-0.037
20,Low,8036.02,0.3157,0.0054,0.6789,1.1347,-0.1347
21,Low,5620.56,0.2917,0.0044,0.7039,1.0764,-0.0764
22,Low,9321.94,0.2975,0.0011,0.7015,1.0941,-0.0941
23,Low,8844.0,0.3487,0.0089,0.6423,1.0572,-0.0572
24,Low,8156.03,0.3307,0.01,0.6593,1.1291,-0.1291
25,Low,4497.33,0.269,0.0154,0.7156,1.0805,-0.0805
26,Low,6317.1,0.3072,0.0142,0.6786,1.0652,-0.0652
27,Low,2891.7,0.2948,0.019,0.6862,1.0395,-0.0395
28,Low,4161.65,0.3016,0.0036,0.6948,1.1306,-0.1306
29,Low,7594.86,0.2935,0.0134,0.6931,1.0229,-0.0229
30,Low,7957.42,0.3215,0.0106,0.6679,1.0796,-0.0796
31,Low,9302.04,0.2913,0.0076,0.7012,1.1394,-0.1394
32,Low,5433.97,0.3429,0.0169,0.6402,1.0087,-0.0087
33,Low,5722.35,0.3499,0.0196,0.6304,1.0729,-0.0729
34,Low,6334.21,0.2708,0.016,0.7132,1.0193,-0.0193
35,Low,4456.14,0.3182,0.0118,0.67,1.1309,-0.1309
36,Low,3939.39,0.3075,0.0045,0.688,1.1095,-0.1095
37,Low,6371.28,0.2768,0.0064,0.7168,1.0975,-0.0975
38,Low,4745.13,0.3207,0.0113,0.668,1.0337,-0.0337
39,Low,7517.31,0.309,0.0128,0.6782,1.033,-0.033
40,Low,6137.43,0.288,0.0141,0.6978,1.1358,-0.1358
41,Low,8479.29,0.3495,0.0015,0.649,1.1003,-0.1003
42,Low,7695.82,0.2805,0.0027,0.7168,1.0857,-0.0857
43,Low,5344.83,0.2991,0.0158,0.6851,1.0286,-0.0286
44,Low,8476.78,0.2852,0.0095,0.7054,1.0701,-0.0701
45,Low,8312.66,0.3121,0.013,0.6749,1.0148,-0.0148
46,Low,5829.82,0.2952,0.0069,0.6979,1.0373,-0.0373
47,Low,5182.55,0.2924,0.0098,0.6979,1.0418,-0.0418
48,Low,7591.62,0.2932,0.0197,0.6871,1.1292,-0.1292
49,Low,4031.23,0.3032,0.001,0.6958,1.1254,-0.1254
50,Low,4538.87,0.3303,0.0176,0.6521,1.0249,-0.0249
51,Low,1910.39,0.3166,0.0045,0.6788,1.0088,-0.0088
52,Low,8206.66,0.3082,0.0211,0.6707,1.1176,-0.1176
53,Low,7488.23,0.2956,0.0085,0.6959,1.1493,-0.1493
54,Low,7724.57,0.3267,0.0154,0.658,1.0445,-0.0445
55,Low,8169.93,0.3425,0.0114,0.646,1.1122,-0.1122
56,Low,6269.88,0.2787,0.0127,0.7086,1.1279,-0.1279
57,Low,6924.44,0.2976,0.0215,0.6809,1.0279,-0.0279
58,Low,4031.64,0.327,0.0143,0.6587,1.018,-0.018
59,Low,3788.57,0.3379,0.0049,0.6572,1.0929,-0.0929
60,Low,7509.04,0.3054,0.0122,0.6824,1.1402,-0.1402
61,Low,6343.51,0.2976,0.0158,0.6866,1.0594,-0.0594
62,Low,6903.79,0.3322,0.0063,0.6615,1.1128,-0.1128
63,Low,8076.84,0.2662,0.0095,0.7243,1.1494,-0.1494
64,Low,7311.74,0.2897,0.0048,0.7055,1.14,-0.14
65,Low,6835.04,0.3406,0.0177,0.6417,1.0237,-0.0237
66,Low,6868.25,0.3305,0.014,0.6555,1.1481,-0.1481
67,Low,5288.48,0.3163,0.0002,0.6836,1.0449,-0.0449
68,Low,2645.08,0.3335,0.0198,0.6467,1.0173,-0.0173
69,Low,6134.77,0.29,0.0123,0.6977,1.0907,-0.0907
70,Low,4652.27,0.3253,0.0041,0.6706,1.0396,-0.0396
71,Low,5961.19,0.2984,0.0181,0.6835,1.0138,-0.0138
72,Low,8603.7,0.3255,0.0062,0.6684,1.1157,-0.1157
73,Low,4797.22,0.3159,0.0053,0.6788,1.0828,-0.0828
74,Low,3119.83,0.3251,0.0002,0.6747,1.1325,-0.1325
75,Low,5134.87,0.329,0.0105,0.6605,1.0874,-0.0874
76,Low,5218.46,0.2948,0.0028,0.7023,1.1348,-0.1348
77,Low,7471.04,0.3179,0.0166,0.6655,1.0315,-0.0315
78,Low,6855.42,0.2879,0.0022,0.7099,1.1326,-0.1326
