hh_id,bracket,income_monthly,labor_share,capital_share,transfer_share,consumption_rate,savings_rate
0,Low,8841.86,0.3333,0.0005,0.6662,1.0335,-0.0335
1,Low,6686.44,0.3153,0.0132,0.6715,1.013,-0.013
2,Low,9391.26,0.3195,0.0007,0.6799,1.0758,-0.0758
3,Low,8351.36,0.2741,0.0043,0.7215,1.0817,-0.0817
4,Low,3885.45,0.282,0.0122,0.7058,1.001,-0.001
5,Low,10171.86,0.3378,0.0143,0.6479,1.0233,-0.0233
6,Low,8759.44,0.3595,0.007,0.6335,1.0145,-0.0145
7,Low,8919.88,0.3258,0.0118,0.6625,1.1095,-0.1095
8,Low,4265.66,0.316,0.0203,0.6638,1.0828,-0.0828
9,Low,6762.72,0.3228,0.012,0.6652,1.0866,-0.0866
10,Low,6225.86,0.3394,0.001,0.6596,1.0434,-0.0434
11,Low,9842.36,0.2956,0.0053,0.6991,1.0417,-0.0417
12,Low,8010.39,0.3274,0.0076,0.665,1.0314,-0.0314
13,Low,9157.43,0.2882,0.0195,0.6923,1.0914,-0.0914
14,Low,6716.55,0.2974,0.0162,0.6863,1.0569,-0.0569
15,Low,5163.39,0.343,0.0126,0.6445,1.1027,-0.1027
16,Low,7440.13,0.3437,0.016,0.6404,1.0048,-0.0048
17,Low,3477.96,0.3101,0.0059,0.684,1.1414,-0.1414
18,Low,9189.08,0.3345,0.0062,0.6593,1.0593,-0.0593
19,Low,7932.66,0.3495,0.0094,0.6412,1.037,-0.037
20,Low,8739.84,0.3157,0.0054,0.6789,1.1347,-0.1347
21,Low,6112.83,0.2917,0.0044,0.7039,1.0764,-0.0764
22,Low,10138.38,0.2975,0.0011,0.7015,1.0941,-0.0941
23,Low,9618.58,0.3487,0.0089,0.6423,1.0572,-0.0572
24,Low,8870.37,0.3307,0.01,0.6593,1.1291,-0.1291
25,Low,4891.22,0.269,0.0154,0.7156,1.0805,-0.0805
26,Low,6870.37,0.3072,0.0142,0.6786,1.0652,-0.0652
27,Low,3144.97,0.2948,0.019,0.6862,1.0395,-0.0395
28,Low,4526.14,0.3016,0.0036,0.6948,1.1306,-0.1306
29,Low,8260.04,0.2935,0.0134,0.6931,1.0229,-0.0229
30,Low,8654.35,0.3215,0.0106,0.6679,1.0796,-0.0796
31,Low,10116.74,0.2913,0.0076,0.7012,1.1394,-0.1394
32,Low,5909.9,0.3429,0.0169,0.6402,1.0087,-0.0087
33,Low,6223.53,0.3499,0.0196,0.6304,1.0729,-0.0729
34,Low,6888.98,0.2708,0.016,0.7132,1.0193,-0.0193
35,Low,4846.43,0.3182,0.0118,0.67,1.1309,-0.1309
36,Low,4284.41,0.3075,0.0045,0.688,1.1095,-0.1095
37,Low,6929.29,0.2768,0.0064,0.7168,1.0975,-0.0975
38,Low,5160.72,0.3207,0.0113,0.668,1.0337,-0.0337
39,Low,8175.7,0.309,0.0128,0.6782,1.033,-0.033
40,Low,6674.97,0.288,0.0141,0.6978,1.1358,-0.1358
41,Low,9221.93,0.3495,0.0015,0.649,1.1003,-0.1003
42,Low,8369.84,0.2805,0.0027,0.7168,1.0857,-0.0857
43,Low,5812.95,0.2991,0.0158,0.6851,1.0286,-0.0286
44,Low,9219.21,0.2852,0.0095,0.7054,1.0701,-0.0701
45,Low,9040.71,0.3121,0.013,0.6749,1.0148,-0.0148
46,Low,6340.41,0.2952,0.0069,0.6979,1.0373,-0.0373
47,Low,5636.46,0.2924,0.0098,0.6979,1.0418,-0.0418
48,Low,8256.52,0.2932,0.0197,0.6871,1.1292,-0.1292
49,Low,4384.3,0.3032,0.001,0.6958,1.1254,-0.1254
50,Low,4936.4,0.3303,0.0176,0.6521,1.0249,-0.0249
51,Low,2077.71,0.3166,0.0045,0.6788,1.0088,-0.0088
52,Low,8925.43,0.3082,0.0211,0.6707,1.1176,-0.1176
53,Low,8144.08,0.2956,0.0085,0.6959,1.1493,-0.1493
54,Low,8401.12,0.3267,0.0154,0.658,1.0445,-0.0445
55,Low,8885.48,0.3425,0.0114,0.646,1.1122,-0.1122
