hh_id,bracket,income_monthly,labor_share,capital_share,transfer_share,consumption_rate,savings_rate
0,Low,8632.28,0.3333,0.0005,0.6662,1.0335,-0.0335
1,Low,6527.96,0.3153,0.0132,0.6715,1.013,-0.013
2,Low,9168.66,0.3195,0.0007,0.6799,1.0758,-0.0758
3,Low,8153.41,0.2741,0.0043,0.7215,1.0817,-0.0817
4,Low,3793.35,0.282,0.0122,0.7058,1.001,-0.001
5,Low,9930.76,0.3378,0.0143,0.6479,1.0233,-0.0233
6,Low,8551.82,0.3595,0.007,0.6335,1.0145,-0.0145
7,Low,8708.45,0.3258,0.0118,0.6625,1.1095,-0.1095
8,Low,4164.55,0.316,0.0203,0.6638,1.0828,-0.0828
9,Low,6602.42,0.3228,0.012,0.6652,1.0866,-0.0866
10,Low,6078.3,0.3394,0.001,0.6596,1.0434,-0.0434
11,Low,9609.07,0.2956,0.0053,0.6991,1.0417,-0.0417
12,Low,7820.53,0.3274,0.0076,0.665,1.0314,-0.0314
13,Low,8940.37,0.2882,0.0195,0.6923,1.0914,-0.0914
14,Low,6557.35,0.2974,0.0162,0.6863,1.0569,-0.0569
15,Low,5041.0,0.343,0.0126,0.6445,1.1027,-0.1027
16,Low,7263.78,0.3437,0.016,0.6404,1.0048,-0.0048
17,Low,3395.53,0.3101,0.0059,0.684,1.1414,-0.1414
18,Low,8971.28,0.3345,0.0062,0.6593,1.0593,-0.0593
19,Low,7744.64,0.3495,0.0094,0.6412,1.037,-0.037
20,Low,8532.68,0.3157,0.0054,0.6789,1.1347,-0.1347
21,Low,5967.94,0.2917,0.0044,0.7039,1.0764,-0.0764
22,Low,9898.08,0.2975,0.0011,0.7015,1.0941,-0.0941
23,Low,9390.6,0.3487,0.0089,0.6423,1.0572,-0.0572
24,Low,8660.12,0.3307,0.01,0.6593,1.1291,-0.1291
25,Low,4775.29,0.269,0.0154,0.7156,1.0805,-0.0805
26,Low,6707.52,0.3072,0.0142,0.6786,1.0652,-0.0652
27,Low,3070.42,0.2948,0.019,0.6862,1.0395,-0.0395
28,Low,4418.86,0.3016,0.0036,0.6948,1.1306,-0.1306
29,Low,8064.26,0.2935,0.0134,0.6931,1.0229,-0.0229
30,Low,8449.22,0.3215,0.0106,0.6679,1.0796,-0.0796
31,Low,9876.95,0.2913,0.0076,0.7012,1.1394,-0.1394
32,Low,5769.82,0.3429,0.0169,0.6402,1.0087,-0.0087
33,Low,6076.01,0.3499,0.0196,0.6304,1.0729,-0.0729
34,Low,6725.7,0.2708,0.016,0.7132,1.0193,-0.0193
35,Low,4731.55,0.3182,0.0118,0.67,1.1309,-0.1309
36,Low,4182.86,0.3075,0.0045,0.688,1.1095,-0.1095
37,Low,6765.05,0.2768,0.0064,0.7168,1.0975,-0.0975
38,Low,5038.4,0.3207,0.0113,0.668,1.0337,-0.0337
39,Low,7981.91,0.309,0.0128,0.6782,1.033,-0.033
40,Low,6516.75,0.288,0.0141,0.6978,1.1358,-0.1358
41,Low,9003.35,0.3495,0.0015,0.649,1.1003,-0.1003
42,Low,8171.46,0.2805,0.0027,0.7168,1.0857,-0.0857
43,Low,5675.16,0.2991,0.0158,0.6851,1.0286,-0.0286
44,Low,9000.69,0.2852,0.0095,0.7054,1.0701,-0.0701
45,Low,8826.42,0.3121,0.013,0.6749,1.0148,-0.0148
46,Low,6190.13,0.2952,0.0069,0.6979,1.0373,-0.0373
47,Low,5502.86,0.2924,0.0098,0.6979,1.0418,-0.0418
48,Low,8060.82,0.2932,0.0197,0.6871,1.1292,-0.1292
49,Low,4280.38,0.3032,0.001,0.6958,1.1254,-0.1254
50,Low,4819.39,0.3303,0.0176,0.6521,1.0249,-0.0249
51,Low,2028.46,0.3166,0.0045,0.6788,1.0088,-0.0088
52,Low,8713.87,0.3082,0.0211,0.6707,1.1176,-0.1176
53,Low,7951.04,0.2956,0.0085,0.6959,1.1493,-0.1493
54,Low,8201.99,0.3267,0.0154,0.658,1.0445,-0.0445
55,Low,8674.87,0.3425,0.0114,0.646,1.1122,-0.1122
56,Low,6657.39,0.2787,0.0127,0.7086,1.1279,-0.1279
57,Low,7352.4,0.2976,0.0215,0.6809,1.0279,-0.0279
58,Low,4280.81,0.327,0.0143,0.6587,1.018,-0.018
59,Low,4022.72,0.3379,0.0049,0.6572,1.0929,-0.0929
60,Low,7973.14,0.3054,0.0122,0.6824,1.1402,-0.1402
61,Low,6735.56,0.2976,0.0158,0.6866,1.0594,-0.0594
62,Low,7330.47,0.3322,0.0063,0.6615,1.1128,-0.1128
63,Low,8576.03,0.2662,0.0095,0.7243,1.1494,-0.1494
64,Low,7763.64,0.2897,0.0048,0.7055,1.14,-0.14
65,Low,7257.48,0.3406,0.0177,0.6417,1.0237,-0.0237
66,Low,7292.74,0.3305,0.014,0.6555,1.1481,-0.1481
67,Low,5615.33,0.3163,0.0002,0.6836,1.0449,-0.0449
68,Low,2808.56,0.3335,0.0198,0.6467,1.0173,-0.0173
69,Low,6513.93,0.29,0.0123,0.6977,1.0907,-0.0907
70,Low,4939.8,0.3253,0.0041,0.6706,1.0396,-0.0396
71,Low,6329.62,0.2984,0.0181,0.6835,1.0138,-0.0138
72,Low,9135.44,0.3255,0.0062,0.6684,1.1157,-0.1157
73,Low,5093.71,0.3159,0.0053,0.6788,1.0828,-0.0828
74,Low,3312.65,0.3251,0.0002,0.6747,1.1325,-0.1325
75,Low,5452.23,0.329,0.0105,0.6605,1.0874,-0.0874
76,Low,5540.99,0.2948,0.0028,0.7023,1.1348,-0.1348
77,Low,7932.79,0.3179,0.0166,0.6655,1.0315,-0.0315
78,Low,7279.11,0.2879,0.0022,0.7099,1.1326,-0.1326
79,Low,8694.81,0.3164,0.0135,0.6701,1.1395,-0.1395
80,Low,7947.7,0.3244,0.0188,0.6567,1.1322,-0.1322
81,Low,6315.5,0.2804,0.0164,0.7032,1.1396,-0.1396
82,Low,8884.97,0.321,0.0168,0.6622,1.04,-0.04
83,Low,4534.89,0.3229,0.0021,0.675,1.1288,-0.1288
84,Low,2608.15,0.2913,0.0175,0.6912,1.0458,-0.0458
85,Low,3743.78,0.3519,0.0049,0.6432,1.029,-0.029
86,Low,8309.22,0.2837,0.0173,0.6989,1.0419,-0.0419
87,Low,6676.43,0.3079,0.0078,0.6843,1.0804,-0.0804
88,Low,4483.24,0.3297,0.0022,0.6681,1.0268,-0.0268
89,Low,6926.39,0.3598,0.0055,0.6347,1.0652,-0.0652
90,Low,4400.39,0.3262,0.0063,0.6675,1.0767,-0.0767
91,Low,8146.88,0.3117,0.0125,0.6758,1.1063,-0.1063
92,Low,6575.09,0.2712,0.0201,0.7088,1.1079,-0.1079
93,Low,6146.98,0.3328,0.0138,0.6534,1.0105,-0.0105
94,Low,5597.91,0.3315,0.0069,0.6615,1.1272,-0.1272
95,Low,7736.04,0.3358,0.0063,0.658,1.0613,-0.0613
96,Low,6017.52,0.3193,0.0065,0.6742,1.0631,-0.0631
97,Low,3714.44,0.3283,0.0129,0.6588,1.0923,-0.0923
98,Low,4059.76,0.3143,0.0123,0.6734,1.043,-0.043
99,Low,9839.82,0.302,0.012,0.686,1.0697,-0.0697
100,Low,9490.7,0.3111,0.0045,0.6844,1.1352,-0.1352
101,Low,8167.98,0.3501,0.0036,0.6463,1.0773,-0.0773
102,Low,5337.54,0.3127,0.0067,0.6806,1.1127,-0.1127
103,Low,9887.99,0.3369,0.0048,0.6583,1.0037,-0.0037
104,Low,8662.43,0.2833,0.0098,0.7069,1.0109,-0.0109
105,Low,8275.1,0.3156,0.0136,0.6708,1.1045,-0.1045
106,Low,6595.81,0.3087,0.005,0.6862,1.0008,-0.0008
107,Low,5384.92,0.3418,0.0162,0.642,1.0638,-0.0638
108,Low,3819.46,0.2851,0.0204,0.6945,1.0075,-0.0075
109,Low,9451.94,0.2932,0.0181,0.6887,1.1202,-0.1202
110,Low,6637.18,0.318,0.0198,0.6622,1.1425,-0.1425
111,Low,4839.78,0.3314,0.012,0.6566,1.0757,-0.0757
112,Low,5629.64,0.3222,0.0106,0.6672,1.1115,-0.1115
113,Low,7417.88,0.3208,0.0056,0.6736,1.0956,-0.0956
114,Low,4621.88,0.3267,0.0104,0.6629,1.0412,-0.0412
115,Low,9155.97,0.2894,0.0064,0.7042,1.048,-0.048
116,Low,8535.39,0.3269,0.003,0.6701,1.1041,-0.1041
117,Low,8291.15,0.3331,0.0013,0.6656,1.0814,-0.0814
