hh_id,bracket,income_monthly,labor_share,capital_share,transfer_share,consumption_rate,savings_rate
0,Low,8327.2,0.3333,0.0005,0.6662,1.0335,-0.0335
1,Low,6297.24,0.3153,0.0132,0.6715,1.013,-0.013
2,Low,8844.62,0.3195,0.0007,0.6799,1.0758,-0.0758
3,Low,7865.25,0.2741,0.0043,0.7215,1.0817,-0.0817
4,Low,3659.29,0.282,0.0122,0.7058,1.001,-0.001
5,Low,9579.78,0.3378,0.0143,0.6479,1.0233,-0.0233
6,Low,8249.58,0.3595,0.007,0.6335,1.0145,-0.0145
7,Low,8400.68,0.3258,0.0118,0.6625,1.1095,-0.1095
8,Low,4017.36,0.316,0.0203,0.6638,1.0828,-0.0828
9,Low,6369.08,0.3228,0.012,0.6652,1.0866,-0.0866
10,Low,5863.47,0.3394,0.001,0.6596,1.0434,-0.0434
11,Low,9269.47,0.2956,0.0053,0.6991,1.0417,-0.0417
12,Low,7544.13,0.3274,0.0076,0.665,1.0314,-0.0314
13,Low,8624.4,0.2882,0.0195,0.6923,1.0914,-0.0914
14,Low,6325.6,0.2974,0.0162,0.6863,1.0569,-0.0569
15,Low,4862.84,0.343,0.0126,0.6445,1.1027,-0.1027
16,Low,7007.06,0.3437,0.016,0.6404,1.0048,-0.0048
17,Low,3275.52,0.3101,0.0059,0.684,1.1414,-0.1414
18,Low,8654.21,0.3345,0.0062,0.6593,1.0593,-0.0593
19,Low,7470.93,0.3495,0.0094,0.6412,1.037,-0.037
20,Low,8231.12,0.3157,0.0054,0.6789,1.1347,-0.1347
21,Low,5757.02,0.2917,0.0044,0.7039,1.0764,-0.0764
22,Low,9548.26,0.2975,0.0011,0.7015,1.0941,-0.0941
23,Low,9058.71,0.3487,0.0089,0.6423,1.0572,-0.0572
24,Low,8354.05,0.3307,0.01,0.6593,1.1291,-0.1291
25,Low,4606.52,0.269,0.0154,0.7156,1.0805,-0.0805
26,Low,6470.46,0.3072,0.0142,0.6786,1.0652,-0.0652
27,Low,2961.91,0.2948,0.019,0.6862,1.0395,-0.0395
28,Low,4262.69,0.3016,0.0036,0.6948,1.1306,-0.1306
29,Low,7779.25,0.2935,0.0134,0.6931,1.0229,-0.0229
30,Low,8150.61,0.3215,0.0106,0.6679,1.0796,-0.0796
31,Low,9527.88,0.2913,0.0076,0.7012,1.1394,-0.1394
32,Low,5565.9,0.3429,0.0169,0.6402,1.0087,-0.0087
33,Low,5861.27,0.3499,0.0196,0.6304,1.0729,-0.0729
34,Low,6487.99,0.2708,0.016,0.7132,1.0193,-0.0193
35,Low,4564.33,0.3182,0.0118,0.67,1.1309,-0.1309
36,Low,4035.03,0.3075,0.0045,0.688,1.1095,-0.1095
37,Low,6525.96,0.2768,0.0064,0.7168,1.0975,-0.0975
38,Low,4860.33,0.3207,0.0113,0.668,1.0337,-0.0337
39,Low,7699.81,0.309,0.0128,0.6782,1.033,-0.033
40,Low,6286.43,0.288,0.0141,0.6978,1.1358,-0.1358
41,Low,8685.15,0.3495,0.0015,0.649,1.1003,-0.1003
42,Low,7882.66,0.2805,0.0027,0.7168,1.0857,-0.0857
43,Low,5474.59,0.2991,0.0158,0.6851,1.0286,-0.0286
44,Low,8682.58,0.2852,0.0095,0.7054,1.0701,-0.0701
45,Low,8514.47,0.3121,0.013,0.6749,1.0148,-0.0148
46,Low,5971.36,0.2952,0.0069,0.6979,1.0373,-0.0373
47,Low,5308.38,0.2924,0.0098,0.6979,1.0418,-0.0418
48,Low,7775.93,0.2932,0.0197,0.6871,1.1292,-0.1292
49,Low,4129.1,0.3032,0.001,0.6958,1.1254,-0.1254
50,Low,4649.06,0.3303,0.0176,0.6521,1.0249,-0.0249
51,Low,1956.77,0.3166,0.0045,0.6788,1.0088,-0.0088
52,Low,8405.9,0.3082,0.0211,0.6707,1.1176,-0.1176
53,Low,7670.03,0.2956,0.0085,0.6959,1.1493,-0.1493
54,Low,7912.11,0.3267,0.0154,0.658,1.0445,-0.0445
55,Low,8368.28,0.3425,0.0114,0.646,1.1122,-0.1122
56,Low,6422.1,0.2787,0.0127,0.7086,1.1279,-0.1279
57,Low,7092.55,0.2976,0.0215,0.6809,1.0279,-0.0279
58,Low,4129.52,0.327,0.0143,0.6587,1.018,-0.018
59,Low,3880.55,0.3379,0.0049,0.6572,1.0929,-0.0929
60,Low,7691.35,0.3054,0.0122,0.6824,1.1402,-0.1402
61,Low,6497.51,0.2976,0.0158,0.6866,1.0594,-0.0594
62,Low,7071.4,0.3322,0.0063,0.6615,1.1128,-0.1128
63,Low,8272.93,0.2662,0.0095,0.7243,1.1494,-0.1494
64,Low,7489.25,0.2897,0.0048,0.7055,1.14,-0.14
65,Low,7000.98,0.3406,0.0177,0.6417,1.0237,-0.0237
66,Low,7034.99,0.3305,0.014,0.6555,1.1481,-0.1481
67,Low,5416.87,0.3163,0.0002,0.6836,1.0449,-0.0449
68,Low,2709.3,0.3335,0.0198,0.6467,1.0173,-0.0173
69,Low,6283.71,0.29,0.0123,0.6977,1.0907,-0.0907
70,Low,4765.21,0.3253,0.0041,0.6706,1.0396,-0.0396
71,Low,6105.91,0.2984,0.0181,0.6835,1.0138,-0.0138
72,Low,8812.58,0.3255,0.0062,0.6684,1.1157,-0.1157
73,Low,4913.69,0.3159,0.0053,0.6788,1.0828,-0.0828
74,Low,3195.57,0.3251,0.0002,0.6747,1.1325,-0.1325
75,Low,5259.53,0.329,0.0105,0.6605,1.0874,-0.0874
76,Low,5345.16,0.2948,0.0028,0.7023,1.1348,-0.1348
77,Low,7652.43,0.3179,0.0166,0.6655,1.0315,-0.0315
78,Low,7021.85,0.2879,0.0022,0.7099,1.1326,-0.1326
79,Low,8387.52,0.3164,0.0135,0.6701,1.1395,-0.1395
80,Low,7666.81,0.3244,0.0188,0.6567,1.1322,-0.1322
81,Low,6092.3,0.2804,0.0164,0.7032,1.1396,-0.1396
82,Low,8570.96,0.321,0.0168,0.6622,1.04,-0.04
83,Low,4374.61,0.3229,0.0021,0.675,1.1288,-0.1288
84,Low,2515.97,0.2913,0.0175,0.6912,1.0458,-0.0458
85,Low,3611.47,0.3519,0.0049,0.6432,1.029,-0.029
86,Low,8015.56,0.2837,0.0173,0.6989,1.0419,-0.0419
87,Low,6440.47,0.3079,0.0078,0.6843,1.0804,-0.0804
88,Low,4324.79,0.3297,0.0022,0.6681,1.0268,-0.0268
